 title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         20;      941631.150;      979211.550;      944643.150;        6469.061 ( 0.685 %);     80.765
       IKJ;         234.375;           0.229;           0.000;        100;         20;      650518.850;      675715.950;      652714.971;        5826.592 ( 0.893 %);    116.887
       IEX;         234.375;           0.229;           0.000;        100;         20;      647244.050;      693910.650;      664078.300;        8081.266 ( 1.217 %);    114.887
    UNROLL;         234.375;           0.229;           0.000;        100;         20;      476121.600;      491491.300;      478596.809;        3284.904 ( 0.686 %);    159.412
     CBLAS;         234.375;           0.229;           0.000;        100;         20;       54712.400;       65426.950;       56563.562;        2827.424 ( 4.999 %);   1348.818


 title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         20;      926674.350;      960435.550;      930312.462;        7048.301 ( 0.758 %);     82.009
       IKJ;         234.375;           0.229;           0.000;        100;         20;      580542.050;      647373.650;      600717.192;       15215.481 ( 2.533 %);    127.005
       IEX;         234.375;           0.229;           0.000;        100;         20;      653511.050;      708639.050;      658178.692;       12021.938 ( 1.827 %);    115.917
    UNROLL;         234.375;           0.229;           0.000;        100;         20;      475946.600;      501176.050;      478634.409;        5381.428 ( 1.124 %);    159.399
   UNROLL8;         234.375;           0.229;           0.000;        100;         20;      503482.750;      522860.850;      506359.726;        4502.208 ( 0.889 %);    150.671
     CBLAS;         234.375;           0.229;           0.000;        100;         20;       54647.950;       66259.500;       57225.009;        3400.250 ( 5.942 %);   1333.227
